"name","icono","range","tags","description"
"Asesino Fantasmal","ilusion.png",4,"[Rango 4][Ilusión][Concentración]","Accedes a las pesadillas de una criatura
visible a un máximo de 48 metros de ti,
creando una manifestación ilusoria de
sus más profundos miedos. El objetivo
debe superar una salvación de Voluntad
u obtendrá la clave [Asustado] durante 1
minuto. Al final de cada uno de sus turnos, debe superar una nueva salvación o
sufrir 4d10 puntos de daño psíquico. Si
logra tener éxito en una de las salvaciones, el conjuro finaliza.
<br><br><b>Potenciación</b>. Incrementas el daño
1d10 por cada rango que aumentes.
"
"Ataque Mortal","evocacion.png",1,"[Rango 1][Evocación][Concentración]","Empleando una acción bonus cargas
tu arma con una energía oscura. El
próximo ataque que realices con dicho
arma inflige 2d6 puntos de daño de
oscuridad adicionales.
<br><br><b>Potenciación</b>. Incrementas el daño 1d6
por cada rango que aumentes.
"
"Atormentar","encantamiento.png",1,"[Rango 1][Encantamiento]","Miras fijamente a los ojos de una criatura visible a un máximo de 4 metros
de ti. Esta criatura puede evitar tu mirada, y el efecto del conjuro superando
una salvación de Voluntad. Si tiene
la clave [Maligno], tiene desventaja en
esta salvación.
Si no supera la salvación, sus pecados lo
atormentan y sufre 3d6 puntos de daño
psíquico y queda en estado [Paralizado]
hasta el final de tu siguiente turno.
<br><br><b>Potenciación</b>. Incrementas el daño 1d6
por cada rango que aumentes.
"
"Augurio","adivinacion.png",2,"[Rango 2][Adivinación][Ritual][Coste 25 pn]","Empleando alguna herramienta de adivinación durante 1 minuto, una entidad de
otro mundo te proporciona un presagio
sobre el resultado de una acción específica que llevarías a cabo en los siguientes
30 minutos. El resultado se expresa en
forma de: positivo, negativo, positivo y
negativo o ni positivo ni negativo.
"
"Aumentar Atributo","transmutacion.png",2,"[Rango 2][Transmutación][Concentración]","Tocas una criatura y aumentas una de
sus puntuaciones de atributo en 2 puntos durante una hora.
<br><br><b>Potenciación</b>. Eliges como objetivo a
una criatura adicional por cada rango
que aumentes. Debes potenciar el mismo
atributo a todas las criaturas afectadas.
"
"Aumentar Peso","transmutacion.png",0,"[A Voluntad][Transmutación]","Tocas un objeto y duplicas su peso
durante 10 minutos. Si vuelves a lanzar
este conjuro, el efecto del primer lanzamiento termina.
"
"Aura Mágica","ilusion.png",2,"[Rango 2][Ilusión]","Colocas una ilusión en una criatura o
en un objeto que toques para que los
conjuros de [Adivinación] revelen información falsa sobre él durante 24 horas.
Cuando lanzas el conjuro elige uno o los
dos efectos siguientes:
• Enmascarar. Modificas el aura de
una criatura ante conjuros y efectos
mágicos que detectan el tipo de la
criatura. Modificas una de las claves de la criatura a efectos de otros
conjuros y efectos mágicos.
• Falsear Aura. Puedes hacer que
un objeto no mágico parezca mágico, un objeto mágico parezca no
mágico, o cambiar el aura mágica
del objeto de tal manera que parezca que pertenece a una escuela
específica de magia que tu escojas.
Si lanzas este conjuro sobre la misma
criatura u objeto cada día durante 30 días,
colocando el mismo efecto en él cada
vez, la ilusión se vuelve permanente.
"
"Aura Sagrada","abjuracion.png",8,"[Rango 8][Abjuración][Concentración][Coste 10 pr]","Emites un suave resplandor divino que
se extiende en un radio de 12 metros durante 1 minuto. Las criaturas que escojas
dentro del aura tienen ventaja en todas
las salvaciones que realicen.
Además, siempre que una criatura
intente atacar a uno de los objetivos
afectados por el aura, tiene desventaja.
Si, además, la criatura atacante es
[Infernal] o [Muerto Viviente], este debe
superar una salvación de Fortaleza o
quedar en estado [Cegado] hasta que el
aura desaparezca.
"
"Auxilio Divino","abjuracion.png",2,"[Rango 2][Abjuración]","Refuerzas la tenacidad y la determinación de hasta tres criaturas que estén a
un máximo de 12 metros de ti. Durante
8 horas todos los afectados aumentan en
5 puntos sus PG máximos y actuales.
<br><br><b>Potenciación</b>. Incrementas 5 PG adicionales por cada rango que aumentes.
"
"Barrera de Cuchillas","evocacion.png",6,"[Rango 6][Evocación][Concentración]","Creas una barrera mágica de afiladas cuchillas en un punto a un máximo de 36
metros de ti. La barrera puede tener un
largo de hasta 40 metros, proporciona
cobertura de tres cuartos y adquiere la
clave [Terreno Difícil]. Además, cuando
una criatura entra en el área de la barrera
o comienza allí su turno, debe realizar
una salvación de Reflejos. Si falla la
salvación, recibe 6d10 puntos de daño
cortante, mientras que si la supera,
sufrirá la mitad de daño.
La barrera dura un máximo de 10 minutos.
"
"Bendición","encantamiento.png",1,"[Rango 1][Encantamiento][Concentración]","Bendices hasta tres criaturas de tu elección que se encuentren a un máximo
de 12 metros de ti. Siempre que una
criatura bendita realiza una tirada de
ataque o una salvación, puede añadir
1d4 al resultado obtenido. Este conjuro
expira pasado 1 minuto.
<br><br><b>Potenciación</b>. Eliges como objetivo a
una criatura adicional por cada rango
que aumentes.
"
"Boca Mágica","ilusion.png",2,"[Rango 2][Ilusión][Ritual]","Empleando un minuto, pronuncias
un mensaje de hasta 25 palabras en un
objeto a un máximo de 12 metros de ti.
Este mensaje se escucha en el momento
en el que se dé un hecho que tú decidas.
Cuando las condiciones se cumplen,
una boca mágica aparece en el objeto y
recita el mensaje con tu voz y al mismo
volumen con el que hablaste. El conjuro
dura indefinidamente, aunque cuando
lo lanzas puedes decidir que tan solo se
reproduzca una vez.
"
"Bola de Fuego","evocacion.png",3,"[Rango 3][Evocación]","Un rayo brillante emerge desde tu dedo
hacia un punto a un máximo de 60 metros de ti. Al llegar al punto establecido,
estalla con un rugido una poderosa
explosión de llamas que cubre un radio
de 8 metros. Todas las criaturas que se
encuentren en el área de efecto reciben
8d6 puntos de daño de fuego. Si superan
una salvación de Reflejos pueden reducir
el daño causado a la mitad.
<br><br><b>Potenciación</b>. Incrementas el daño 1d6
por cada rango que aumentes.
"
"Bola de fuego de Aleena","evocacion.png",7,"[Rango 7][Evocación][Concentración][Diario]","De la punta de tu dedo sale un haz de luz
que se concentra en un punto escogido
a un máximo de 60 metros de ti, formando un orbe ardiente que crece cada
turno. El conjuro dura 1 minuto, hasta
que pierdes la [Concentración] o hasta que
alguien toque el orbe.
Cuando el conjuro finaliza, el orbe
explota y todas las criaturas en un radio
de 8 metros de él reciben 12d6 de daño
de fuego. Las criaturas que superen una
salvación de Destreza reciben tan solo la
mitad del daño.
Si al final de tu turno el orbe no ha explotado, acumula una carga que aumenta
el daño de la explosión 1d6.
<br><br><b>Potenciación</b>. Incrementas el daño
base de la explosión 1d6 por cada rango
que aumentes.
"
"Cadena de Relámpagos","evocacion.png",6,"[Rango 6][Evocación]","Extiendes las manos y de ellas surge un
fuerte relámpago hasta un objetivo visible a un máximo de 60 metros. Desde
el objetivo, surgirán 1d4 relámpagos adicionales que impactarán en las víctimas
que estén a un máximo de 12 metros de
la primera. Ninguna criatura puede ser
objetivo de más de un relámpago.
Todas las criaturas afectadas deben realizar una salvación de Reflejos. Reciben
10d8 puntos de daño de rayo si no la
superan, o la mitad si lo hacen.
<br><br><b>Potenciación</b>. Surge un relámpago
adicional desde el primer objetivo por
cada rango que aumentes.
"
"Caída de Pluma","transmutacion.png",1,"[Rango 1][Transmutación]","Cuando una criatura a un máximo de 24
metros de ti o tú mismo estáis cayendo,
puedes emplear tu reacción para lanzar
este conjuro.
Disminuyes la velocidad de descenso de
hasta 5 criaturas durante 1 minuto. Si
una criatura afectada aterriza antes de
que el conjuro finalice, no sufre daño de
caída y puede hacerlo de pie. El conjuro
finaliza para cada criatura de forma
individual cuando toma tierra.
"
"Calentar Metal","transmutacion.png",2,"[Rango 2][Transmutación][Concentración]","Elige un objeto metálico manufacturado
que puedas ver a un máximo de 24 metros de ti. Provocas que ese objeto
se caliente hasta el punto de brillar al
rojo vivo. Cualquier criatura en contacto
físico con el objeto en el momento
del lanzamiento del conjuro sufre 2d8
puntos de daño por fuego. Durante 1
minuto, puedes usar una acción bonus
para volver a causar este daño de nuevo.
Una criatura que esté agarrando un
objeto afectado por este poder, debe
superar una salvación de Fortaleza o
tirar el objeto. Además, tiene desventaja
en las tiradas de ataque y las pruebas de
atributo hasta el comienzo de tu siguiente turno.
<br><br><b>Potenciación</b>. Incrementas el daño 1d8
por cada rango que aumentes.
"
"Calentar/Enfriar","necromancia.png",0,"[A Voluntad][Nigromancia]","Tocas un pequeño objeto y modificas su
temperatura, helándolo o calentándolo.
"
"Calmar Emociones","encantamiento.png",2,"[Rango 2][Encantamiento][Concentración]","Cada criatura con la clave [Humanoide]
en un radio de 8 metros de un punto que
elijas a un máximo de 24 metros de ti
debe superar una salvación de Voluntad
o quedar obligado a permanecer indiferente hacia las criaturas de tu elección
contra la que es abiertamente hostil. Las
criaturas que también posean la clave
[Feérico] tienen ventaja en la salvación.
Si existe un efecto que causa que el
objetivo esté bajo las claves [Asustado]
o [Encantado], este no tiene efecto durante la duración de Calmar Emociones.
Una criatura puede decidir fallar la
salvación voluntariamente.
El conjuro dura 1 minuto y se disipa
cuando el objetivo o sus aliados son
atacados o heridos de alguna forma.
"
"Cambiar de Forma","transmutacion.png",9,"[Rango 9][Transmutación][Concentración][Coste 15 pr]","Tomas la forma de una criatura de un
nivel igual o inferior al tuyo durante 1
hora. La criatura en la que te transformas
no puede tener las claves [Constructo] o
[Muerto Viviente] y debes haberla visto
con anterioridad.
Adoptas los atributos de Fuerza, Destreza y Constitución de la nueva forma,
así como sus PG máximos. Además,
añades todas las competencias que esta
tenga a las que ya poseas.
Cuando llegas a 0 PG, vuelves a los PG
anteriores al lanzamiento del conjuro,
cualquier exceso de daño se pasa a tu
forma normal y el conjuro finaliza.
Sin embargo, no puedes utilizar las habilidades y ataques especiales que tenga
la nueva forma, y solo puedes hablar
si la criatura cuya forma adoptas puede
hacerlo.
Cuando te transformas, puedes escoger
equipar tu equipo, dejar que caiga al
suelo, o fusionarlo con la nueva forma.
Durante la duración del conjuro, puedes
utilizar tu acción para cambiar a una
forma diferente pero, si tu nueva forma
tiene más PG que la forma anterior,
estos no cambian.
"
"Caminar el Viento","transmutacion.png",6,"[Rango 6][Transmutación]","Tras meditar durante 1 minuto, hasta
diez criaturas voluntarias y visibles
que se encuentren a un máximo de 12
metros de ti y tú os desvanecéis, transformándoos en formas neblinosas. Bajo
esta transformación, tenéis velocidad
de vuelo de 200 metros, solo podréis
realizar acciones de movimiento y tendréis resistencia al daño contundente,
cortante y perforante. Durante 8 horas, las criatura afectadas
pueden cambiar entre su forma original
y su forma neblinosa tantas veces como
quieran, empleando para ello 1 minuto.
En el tiempo que dure la transformación
la criatura se considera en bajo la clave
[Incapacitado].
Finalizada la duración del conjuro, las
criaturas afectadas volverán a su forma
original. Si se encontraban volando, descenderán hasta el suelo de forma segura.
"
"Caminar sobre las Aguas","transmutacion.png",3,"[Rango 3][Transmutación][Ritual]","Otorgas a diez criaturas a un máximo de
12 metros de ti la capacidad de moverse
por cualquier superficie líquida como si
fuera sólida. Dura 1 hora. Si eliges como
objetivo a una criatura sumergida en un
líquido, el conjuro lleva al objetivo a la
superficie del líquido a una velocidad de
24 metros por asalto.
"
"Campo de Antimagia","abjuracion.png",8,"[Rango 8][Abjuración][Concentración]","Te rodeas durante 1 hora de una esfera
[Invisible] de 4 metros de radio que se
desplaza contigo. Dentro de la esfera no
se pueden lanzar conjuros y se suprimen
todos los efectos mágicos, salvo los
creados por un artefacto o una deidad.
Esta supresión incluye efectos de
conjuros directos, áreas de magia, las
propiedades y poderes de los objetos
mágicos, los viajes mágicos y las criaturas y objetos invocados.
Además, un conjuro de Disipar Magia
o similar no puede eliminar el Campo
de Antimagia.
"
"Caparazón Antivida","abjuracion.png",5,"[Rango 5][Abjuración][Concentración]","Creas una barrera que se expande a
tu alrededor en un radio de 4 metros,
desplazándose contigo y protegiéndote
de criaturas que no tengan las claves
[Muerto Viviente] o [Constructo] durante
1 hora. Las criaturas que no tengan las
claves indicadas no podrán pasar ni
atravesar la barrera.
Si te mueves de forma que fuerzas a una
criatura afectada a pasar a través de la
barrera, el conjuro se disipa.
"
"Carne a Piedra","transmutacion.png",6,"[Rango 6][Transmutación][Concentración]","Conviertes a una criatura que sea visible
y que esté a un máximo de 24 metros
de ti en piedra. La criatura debe superar
una salvación de Fortaleza o queda en
estado [Frenado] y su piel comienza a
endurecerse.
Si mantienes la concentración del
conjuro durante su duración, la víctima
queda en estado [Petrificado] de forma
permanente. Si pierdes la concentración
en algún momento, el efecto del conjuro desaparece y se elimina el estado
[Frenado] sobre la criatura.
Este conjuro solo puede afectar a criaturas que tengan piel.
"
"Cautiverio","abjuracion.png",9,"[Rango 9][Abjuración][Coste 5 pr][Extenuante]","Encarcelas a una criatura visible a un
máximo de 12 metros de ti a menos que
supere una salvación de Voluntad. Si
supera esta salvación, se vuelve inmune
a futuros lanzamientos que hagas de
Cautiverio.
Mientras esté encerrada, la criatura
no necesita comer, beber ni respirar.
Además no envejece, y los conjuros de
[Adivinación] no pueden localizarle.
Al lanzar el conjuro debes elegir entre
una de las siguientes métodos de cautiverio:
• Encadenar. La criatura es inmovilizada por unas pesadas cadenas
mágicamente ligadas al suelo. La
criatura queda en estado [Frenado]
hasta el fin de su cautiverio. • Entierro. La criatura es sepultada
dentro de la tierra en una esfera de
fuerza mágica. Nada puede pasar o
teleportarse al interior de la esfera.
• Prisión Diminuta. La criatura es
reducida y se encierra en el interior
de una gema o talismán. Desde la
gema puede haber visión hasta el
exterior, pero nada puede pasar
a través de ella. Además, la gema
no puede cortarse ni romperse
mientras el prisionero esté dentro.
• Prisión Onírica. La criatura cae
dormida y no puede ser despertada.
• Semimundo Prisión. La criatura
queda atrapada en un semimundo
protegido contra la teleportación
y el viaje entre mundos. Este lugar
puede ser un laberinto imposible,
una jaula o cualquier otra estructura que se te ocurra.
Puedes establecer en cualquier momento una condición que pueda causar la
finalización del conjuro.
Solo puedes tener un método de cautiverio al mismo tiempo. Si repites alguna,
el conjuro más antiguo se disipa.
"
"Ceguera/Sordera","necromancia.png",2,"[Rango 2][Nigromancia]","Puedes dejar a una criatura, que puedas
ver a un máximo de 12 metros de ti, en
estado [Cegado] o [Ensordecido] durante 1
minuto. La criatura puede intentar evitar
este efecto superando una salvación de
Fortaleza, que puede repetir al final de
cada uno de sus turnos.
<br><br><b>Potenciación</b>. Eliges como objetivo a
una criatura adicional por cada rango
que aumentes.
"
"Cerrar","abjuracion.png",2,"[Rango 2][Abjuración][Coste 25 pn]","Cierras mágicamente una puerta, una
ventana, un cofre o cualquier otro elemento que pueda cerrarse y que toques.
No es posible abrir el objeto hasta
que se rompa o el conjuro se disipe.
Tan solo las criaturas que escoges y tú
podéis abrir el objeto de forma normal,
aunque también puedes establecer una
contraseña que debe ser pronunciada a
un máximo de 2 metros del objeto.
Además, la dificultad de romper, forzar
y abrir la cerradura por cualquier medio
aumenta en +10.
"
"Círculo de Muerte","necromancia.png",6,"[Rango 6][Nigromancia][Coste 5 pr]","Creas una oscura esfera de 24 metros de
radio centrada en un punto a un máximo de 60 metros de ti. Las criaturas en
el interior del área reciben 8d6 de daño
de oscuridad o la mitad si superan una
salvación de Fortaleza.
<br><br><b>Potenciación</b>. Incrementas el daño realizado por la esfera 2d6 por cada rango
que aumentes.
"
"Círculo de Teletransporte","conjuracion.png",5,"[Rango 5][Conjuración][Coste 50pn]","Durante 1 minuto, dibujas un círculo de
2 metros de radio en el suelo. Un portal
brillante se abre en el círculo que has
dibujado y permanece abierto hasta el
final de tu próximo turno. Cuando creas
este círculo en la misma localización
cada día durante un año, generas un
portal permanente.
Cada círculo contiene una secuencia rúnica que vincula el portal con otro portal
permanente ya existente. Cualquiera que
atraviese el portal aparecerá inmediatamente en el portal de destino.
Muchos lugares importantes tienen
círculos de teletransporte permanentes
inscritos. Para conocer la secuencia es
necesario viajar a ese lugar e inscribir
durante 1 minuto las runas en un pergamino o libro de conjuros.
"
"Círculo Mágico","abjuracion.png",3,"[Rango 3][Abjuración][Coste 100 pn]","Empleas 1 minuto en crear un cilindro
mágico de 4 metros de radio y 8 metros de alto centrado en un punto que
puedas ver a un máximo de 4 metros
de ti y que durará 1 hora. Escoge una
de las siguientes claves: [Aberración],
[Celestial], [Elemental], [Feérico], [Infernal],
[Monstruosidad], [Muerto Viviente]. El área
afecta a una criatura con la clave escogida de las siguientes formas:
No puede entrar voluntariamente en el
área por medios no mágicos. Si la criatura intenta usar teleportación o viaje
entre mundos para hacerlo, primero
debe superar una salvación de Voluntad.
Tiene desventaja en las tiradas de ataque
contra objetivos dentro del área.
Los objetivos dentro del área no pueden
ser objetivo de las claves [Asustado],
[Encantado] y [Poseído] por parte de un
conjuro o efecto de la criatura.
Cuando lanzas este conjuro, puedes
invertir la magia para prevenir que una
criatura del tipo elegido abandone el
área, protegiendo a los objetivos fuera
del mismo.
<br><br><b>Potenciación</b>. Incrementas la duración
1 hora adicional por cada rango que aumentes.
"
"Clarividencia","adivinacion.png",3,"[Rango 3][Adivinación][Concentración][Coste 100 pn]","Empleas 10 minutos en crear un sensor
[Invisible] a un máximo de 2 km de ti en
una localización que te sea familiar o
conocida. El sensor permanece ahí durante 10 minutos y no puede ser atacado,
ni se puede interactuar con él.
Cuando lanzas este conjuro eliges si
quieres emplear la vista o el oído. Puedes
utilizar el sentido elegido tal y como si
estuvieras en la localización del sensor.
Como una acción, puedes elegir cambiar
el sentido utilizado entre la vista y el oído.
Una criatura con Ver Invisibilidad o con
Visión Verdadera verá un orbe luminoso
e intangible del tamaño de un puño.
"
"Clonar","necromancia.png",8,"[Rango 8][Nigromancia][Coste 30 pr][Extenuante]","Durante 1 hora, te concentras creando
un duplicado inerte de una criatura
viva. El clon se incuba dentro de un
recipiente sellado y adquiere su forma
final después de tres meses. Este clon
puede ser una versión más joven de una criatura.
Después de los tres meses, si la criatura
original muere y su alma llega a Otromundo, su ánima se transfiere al clon.
El cuerpo de la criatura original todavía
existe, pero no puede ser devuelto a la
vida porque su alma no está disponible.
"
"Cobijo Seguro","evocacion.png",3,"[Rango 3][Evocación][Ritual]","Empleas 1 minuto en crear una cúpula
inmóvil de energía arcana de 4 metros
de radio que cobra existencia alrededor
y por encima de ti y permanece estática
durante 8 horas o hasta que salgas del
área. La cúpula es opaca desde el exterior y transparente desde el interior.
En su interior hay espacio para 9 criaturas además de ti. El conjuro falla cuando
su área incluye una criatura [Grande],
[Enorme], [Gigantesco] o más de diez
criaturas. Las criaturas y objetos que se
encuentren dentro de la cúpula cuando
lanzas el conjuro pueden moverse por
ella libremente. El resto de criaturas y
objetos no pueden pasar a través de ella.
Tampoco pueden traspasar la cúpula ni
conjuros ni efectos mágicos. Además,
la atmósfera del espacio interior es confortable y seca, independientemente
del tiempo en el exterior.
"
"Cofre Secreto","conjuracion.png",4,"[Rango 4][Conjuración][Coste 50 pr]","Tocas un cofre y lo escondes en el Reflejo. Mientras realizas este conjuro debes
tocar una pequeña miniatura que replique el cofre. Cada vez que emplees una
acción y toques la réplica podrás traer de
vuelta el cofre del Reflejo. Puedes enviar
de vuelta el cofre al Reflejo tocando
ambos cofres y empleando otra acción.
Tras 60 días, hay una probabilidad de
un 5% de que el conjuro finalice. Esta
probabilidad aumenta cada día adicional
un 5%. El conjuro termina cuando empleas una acción para disiparlo, cuando
la réplica es destruida o cuando lanzas
el conjuro otra vez. Si cuando finaliza
el conjuro el cofre está en el Reflejo, se
pierde irremediablemente.
"
"Comprensión Idiomática","adivinacion.png",1,"[Rango 1][Adivinación][Ritual]","Durante 1 hora, comprendes el significado literal de cualquier idioma hablado
que escuches y cualquier idioma escrito
que leas, siempre y cuando toques la
superficie en la que están escritas las
palabras. Por lo general, lees a un ritmo
de una página por minuto. El uso de este
conjuro no te permite descifrar enigmas
ni mensajes ocultos mágicamente.
"
"Comunión","adivinacion.png",5,"[Rango 5][Adivinación][Ritual][Diario]","Contactas con Lux o con uno de sus
aspectos, pudiendo realizar durante
1 minuto hasta tres preguntas que
pueden ser respondidas afirmativa o
negativamente. Los aspectos no son
necesariamente omniscientes, así que
es posible recibir una respuesta similar
a “no lo sé”.
"
