"name","tags","description"
"Guía experto","[Nativo][Nivel 1][Nivel 5][Nivel 9]","Si guías a tu grupo por territorio salvaje, este no se puede perder salvo por intervención mágica. A partir de nivel 5, ignoras el [Terreno Difícil] y consideras el [Terreno Muy Difícil] como [Terreno Difícil]. A partir de nivel 9, también ignoras el [Terreno Muy Difícil]."
"Cazador","[Nativo][Nivel 1]","Eres experto en atrapar animales. Tienes ventaja cuando intentas cazarlos. Además, este talento te permite seguir rastros y huellas realizando una prueba de atributo de Sabiduría a CD 15. Si el rastro es reciente o transcurre por bosques, playas o pantanos, tendrás ventaja. Si el rastro tiene más de tres días o transcurre por tierras rocosas o ríos, tendrás desventaja."
"Precisión afilada","[Nativo][Nivel 2]","Desde el nivel 2, cuando haces un ataque de armas a distancia, no obtienes desventaja por encontrarte a alcance largo e ignoras los penalizadores por media cobertura y cobertura de tres cuartos."
"Llamada de la vieja tierra","[Nativo][Nivel 2]","A nivel 2, puedes entrar en comunión con la vieja tierra y conocer los antiguos secretos que oculta. Cuando realices una prueba de atributo de Inteligencia relacionado con la región y sus oscuros secretos, puedes elegir tener ventaja. Si lo haces, tras realizar la prueba tendrás que hacer una prueba de Cordura."
"Acechador invisible","[Nativo][Nivel 3]","Al alcanzar el nivel 3, te conviertes en un experto acechador. Cada vez que haces una prueba de atributo de Destreza relacionada con esconderse o moverse sigilosamente; puedes añadir tu bono de competencia al resultado de la prueba. Si ya eras competente en el atributo correspondiente, doblas el bono de competencia."
"Ataque adicional","[Nativo][Nivel 4][Nivel 8]","A partir del nivel 4 puedes atacar dos veces en lugar de una, siempre que uses la acción de Atacar en tu turno. El número de ataques aumenta a tres cuando alcanzas el nivel 8."
"Esquiva asombrosa","[Nativo][Nivel 6]","Al alcanzar el nivel 6, cuando un atacante que puedes ver te golpea con un ataque, puedes usar tu reacción para reducir a la mitad el daño que sufras."
"Estilo de combate","[Soldado][Nivel 1][Nivel 5][Nivel 10]","Te has especializado en una técnica de lucha concreta en la que eres especialmente hábil. Elige uno de los siguientes estilos: Mosquetero, Coracero, Espadachín, Alabardero, Escolta, Duelista. En los niveles 5 y 10, puedes elegir otro Estilo de combate más, pero no puede ser uno que ya poseas."
"Mosquetero","[Soldado][Estilo de combate]","Obtienes +2 a las tiradas de ataque que hagas con armas a distancia."
"Coracero","[Soldado][Estilo de combate]","Mientras lleves puesta una armadura, ganas +1 la CA."
"Espadachín","[Soldado][Estilo de combate]","Cuando llevas un arma en una mano y ningún arma más, ganas +2 al daño con dicho arma."
"Alabardero","[Soldado][Estilo de combate]","Cuando atacas con un arma con las claves [A Dos Manos] o [Versátil] y sacas un 1 o un 2 en la tirada de daño, puedes repetir la tirada, aunque debes usar el nuevo resultado, incluso si vuelve a ser un 1 o un 2."
"Escolta","[Soldado][Estilo de combate]","Cuando una criatura visible ataca a un aliado que esté a 2m o menos de ti, puedes usar tu reacción para otorgarle desventaja en la tirada de ataque. Debes estar usando un escudo."
"Duelista","[Soldado][Estilo de combate]","Cuando portas un arma en cada mano, puedes añadir tu modificador de atributo al daño del segundo ataque."
"Locura homicida","[Soldado][Nivel 1]","Desde nivel 1, Puedes emplear 1 PE y una acción bonus para entrar en un estado de locura homicida. El estado de locura homicida finaliza tras 1 minuto, cuando caes [Inconsciente] o cuando terminas un turno sin haber atacado a una criatura hostil. Tras esto, debes realizar una prueba de Cordura. Cuando te sumerges en este estado puedes realizar ataques con ventaja, pero tus enemigos también tendrán ventaja en sus ataques contra ti. Además, en todos los ataques que hagas en este estado, ganas un bonificador al daño que depende de tu nivel, como se indica en la Tabla de progreso de soldado."
"Crítico mejorado","[Soldado][Nivel 2][Nivel 8]","A partir de nivel 2, los ataques de tus armas obtienen un crítico en tiradas de 19 o 20. Desde el nivel 8 los ataques de tus armas obtienen un crítico en tiradas de 18, 19 y 20."
"Ataque adicional","[Soldado][Nivel 3][Nivel 9]","A partir del nivel 3 puedes atacar dos veces en lugar de una, siempre que uses la acción de Atacar en tu turno. El número de ataques aumenta a tres cuando alcanzas el nivel 6 y a cuatro cuando alcanzas el nivel 9."
"Magia arcana","[Brujo][Nivel 1]","Como experto en el poder arcano, eres capaz de lanzar conjuros de todo tipo. Empleas magia arcana, y puedes llegar a conocer los conjuros que se indican en la Lista de conjuros de brujo. Tu atributo de lanzamiento de conjuros es la Inteligencia. Posees un libro de conjuros que necesitas repasar cada mañana. De no poder hacerlo, no podrás lanzar conjuros de [Rango 1] o superior."
"Ocultismo","[Brujo][Nivel 1]","Tienes extensos conocimientos sobre leyendas, ocultismo y los Mitos de Cthulhu. Cada vez que haces una prueba de atributo de Inteligencia relacionada con el conocimiento de estos temas puedes elegir hacerlo con ventaja, pero si lo haces te arriesgas a comprender algo que no deberías. Después de la tirada, debes hacer una prueba de Cordura."
"Conocimiento arcano","[Brujo][Nivel 2]","Desde nivel 2, puedes añadir nuevos conjuros a tu libro, copiándolos de legajos perdidos o de otros libros de conjuros. Un conjuro copiado no cuenta para el máximo de conjuros conocidos del hechicero. Para copiar un conjuro necesitas emplear tantos días como el rango del conjuro. No puedes copiar conjuros [A Voluntad]."
"Calma mental","[Brujo][Nivel 5]","A partir del nivel 5, realizas las salvaciones para mantener la concentración con tu Voluntad en lugar de con tu Fortaleza."
"Magia divina","[Creyente][Nivel 1]","Como conductor del poder de Dios, eres capaz de lanzar conjuros sagrados. Empleas magia divina, y conoces los conjuros que se indican en la Lista de conjuros de creyente. Tu atributo de lanzamiento de conjuros es la Sabiduría."
"Fe inquebrantable","[Creyente][Nivel 3][Nivel 8]","A nivel 3, tu fe en el Señor es tan firme que te permite enfrentarte a los peores horrores que puedas conocer. Puedes sumar tu bono de competencia a las pruebas de Cordura que realices. A nivel 8, todos los aliados que puedan verte pueden sumar su bono de competencia en las pruebas de Cordura que realicen. Esta ventaja no se acumula."
"Intervención divina","[Creyente][Nivel 5],"Desde el nivel 5, puedes invocar al Señor para que intervenga en tu favor. Para ello, debes usar tu acción, implorar la ayuda de la deidad y explicar la asistencia que buscas. Tienes un porcentaje de posibilidades igual a tu Poder Máximo de que tu petición sea atendida. Si tienes éxito, debes hacer una prueba de Cordura y no puedes usar otra vez este talento en 7 días. De no ser así, puedes utilizarlo de nuevo tras finalizar un descanso."
